"","ano_trimestre","trimestre","oni_media","enso_class","bar_color","data_inicio","enso_fase"
"451",1995,"AMJ",-0.01,"Neutral","gray80",1995-05-01,"Neutral"
"452",1995,"ASO",-0.92,"La_Nina","steelblue",1995-09-01,"La_Nina"
"453",1995,"DJF",0.96,"El_Nino","firebrick",1995-01-01,"El_Nino"
"454",1995,"FMA",0.41,"Neutral","gray80",1995-03-01,"Neutral"
"455",1995,"JAS",-0.9,"La_Nina","steelblue",1995-08-01,"La_Nina"
"456",1995,"JFM",0.48,"Neutral","gray80",1995-02-01,"Neutral"
"457",1995,"JJA",-0.61,"La_Nina","steelblue",1995-07-01,"La_Nina"
"458",1995,"MAM",0.02,"Neutral","gray80",1995-04-01,"Neutral"
"459",1995,"MJJ",-0.11,"Neutral","gray80",1995-06-01,"Neutral"
"460",1995,"SON",-1.1,"La_Nina","steelblue",1995-10-01,"La_Nina"
"461",1996,"AMJ",-0.3,"Neutral","gray80",1996-05-01,"Neutral"
"462",1996,"ASO",-0.4,"Neutral","gray80",1996-09-01,"Neutral"
"463",1996,"DJF",-0.903333333333333,"La_Nina","steelblue",1996-01-01,"La_Nina"
"464",1996,"FMA",-0.36,"Neutral","gray80",1996-03-01,"Neutral"
"465",1996,"JAS",-0.45,"Neutral","gray80",1996-08-01,"Neutral"
"466",1996,"JFM",-0.56,"La_Nina","steelblue",1996-02-01,"La_Nina"
"467",1996,"JJA",-0.2,"Neutral","gray80",1996-07-01,"Neutral"
"468",1996,"MAM",-0.26,"Neutral","gray80",1996-04-01,"Neutral"
"469",1996,"MJJ",-0.32,"Neutral","gray80",1996-06-01,"Neutral"
"470",1996,"SON",-0.34,"Neutral","gray80",1996-10-01,"Neutral"
"471",1997,"AMJ",1.22,"El_Nino","firebrick",1997-05-01,"El_Nino"
"472",1997,"ASO",2.4,"El_Nino","firebrick",1997-09-01,"El_Nino"
"473",1997,"DJF",-0.503333333333333,"La_Nina","steelblue",1997-01-01,"La_Nina"
"474",1997,"FMA",0.27,"Neutral","gray80",1997-03-01,"Neutral"
"475",1997,"JAS",2.12,"El_Nino","firebrick",1997-08-01,"El_Nino"
"476",1997,"JFM",-0.2,"Neutral","gray80",1997-02-01,"Neutral"
"477",1997,"JJA",1.91,"El_Nino","firebrick",1997-07-01,"El_Nino"
"478",1997,"MAM",0.76,"El_Nino","firebrick",1997-04-01,"El_Nino"
"479",1997,"MJJ",1.67,"El_Nino","firebrick",1997-06-01,"El_Nino"
"480",1997,"SON",2.48,"El_Nino","firebrick",1997-10-01,"El_Nino"
"481",1998,"AMJ",-0.24,"Neutral","gray80",1998-05-01,"Neutral"
"482",1998,"ASO",-1.41,"La_Nina","steelblue",1998-09-01,"La_Nina"
"483",1998,"DJF",2.24,"El_Nino","firebrick",1998-01-01,"El_Nino"
"484",1998,"FMA",0.9,"El_Nino","firebrick",1998-03-01,"El_Nino"
"485",1998,"JAS",-1.26,"La_Nina","steelblue",1998-08-01,"La_Nina"
"486",1998,"JFM",1.38,"El_Nino","firebrick",1998-02-01,"El_Nino"
"487",1998,"JJA",-1.25,"La_Nina","steelblue",1998-07-01,"La_Nina"
"488",1998,"MAM",0.7,"El_Nino","firebrick",1998-04-01,"El_Nino"
